"season","league","team","points","wins","draws","losses","goals_for","goals_against","goal_diff","played","position"
"2008/2009",Belgium Jupiler League,RSC Anderlecht,77,24,5,5,75,30,45,34,1
"2008/2009",Belgium Jupiler League,Standard de Liège,77,24,5,5,66,26,40,34,2
"2008/2009",Belgium Jupiler League,KAA Gent,59,17,8,9,67,42,25,34,3
"2008/2009",Belgium Jupiler League,Club Brugge KV,59,18,5,11,59,50,9,34,4
"2008/2009",Belgium Jupiler League,SV Zulte-Waregem,55,16,7,11,55,36,19,34,5
"2008/2009",Belgium Jupiler League,KVC Westerlo,52,15,7,12,42,38,4,34,6
"2008/2009",Belgium Jupiler League,Sporting Lokeren,51,13,12,9,40,32,8,34,7
"2008/2009",Belgium Jupiler League,KRC Genk,50,15,5,14,48,51,-3,34,8
"2008/2009",Belgium Jupiler League,KSV Cercle Brugge,47,14,5,15,48,53,-5,34,9
"2008/2009",Belgium Jupiler League,KV Mechelen,46,12,10,12,46,52,-6,34,10
"2008/2009",Belgium Jupiler League,Royal Excel Mouscron,44,12,8,14,42,49,-7,34,11
"2008/2009",Belgium Jupiler League,Sporting Charleroi,43,12,7,15,43,48,-5,34,12
"2008/2009",Belgium Jupiler League,Beerschot AC,42,11,9,14,44,42,2,34,13
"2008/2009",Belgium Jupiler League,KV Kortrijk,38,9,11,14,37,55,-18,34,14
"2008/2009",Belgium Jupiler League,FCV Dender EH,35,9,8,17,44,58,-14,34,15
"2008/2009",Belgium Jupiler League,KSV Roeselare,30,8,6,20,33,59,-26,34,16
"2008/2009",Belgium Jupiler League,Tubize,27,7,6,21,35,77,-42,34,17
"2008/2009",Belgium Jupiler League,RAEC Mons,19,3,10,21,31,57,-26,34,18
"2008/2009",England Premier League,Manchester United,90,28,6,4,68,24,44,38,1
"2008/2009",England Premier League,Liverpool,86,25,11,2,77,27,50,38,2
"2008/2009",England Premier League,Chelsea,83,25,8,5,68,24,44,38,3
"2008/2009",England Premier League,Arsenal,72,20,12,6,68,37,31,38,4
"2008/2009",England Premier League,Everton,63,17,12,9,55,37,18,38,5
"2008/2009",England Premier League,Aston Villa,62,17,11,10,54,48,6,38,6
"2008/2009",England Premier League,Fulham,53,14,11,13,39,34,5,38,7
"2008/2009",England Premier League,Tottenham Hotspur,51,14,9,15,45,45,0,38,8
"2008/2009",England Premier League,West Ham United,51,14,9,15,42,45,-3,38,9
"2008/2009",England Premier League,Manchester City,50,15,5,18,58,50,8,38,10
"2008/2009",England Premier League,Wigan Athletic,45,12,9,17,34,45,-11,38,11
"2008/2009",England Premier League,Stoke City,45,12,9,17,38,55,-17,38,12
"2008/2009",England Premier League,Bolton Wanderers,41,11,8,19,41,53,-12,38,13
"2008/2009",England Premier League,Portsmouth,41,10,11,17,38,57,-19,38,14
"2008/2009",England Premier League,Blackburn Rovers,41,10,11,17,40,60,-20,38,15
"2008/2009",England Premier League,Sunderland,36,9,9,20,34,54,-20,38,16
"2008/2009",England Premier League,Hull City,35,8,11,19,39,64,-25,38,17
"2008/2009",England Premier League,Newcastle United,34,7,13,18,40,59,-19,38,18
"2008/2009",England Premier League,Middlesbrough,32,7,11,20,28,57,-29,38,19
"2008/2009",England Premier League,West Bromwich Albion,32,8,8,22,36,67,-31,38,20
"2008/2009",France Ligue 1,Girondins de Bordeaux,80,24,8,6,64,34,30,38,1
"2008/2009",France Ligue 1,Olympique de Marseille,77,22,11,5,67,35,32,38,2
"2008/2009",France Ligue 1,Olympique Lyonnais,71,20,11,7,52,29,23,38,3
"2008/2009",France Ligue 1,Toulouse FC,64,16,16,6,45,27,18,38,4
"2008/2009",France Ligue 1,LOSC Lille,64,17,13,8,51,39,12,38,5
"2008/2009",France Ligue 1,Paris Saint-Germain,64,19,7,12,49,38,11,38,6
"2008/2009",France Ligue 1,Stade Rennais FC,61,15,16,7,42,34,8,38,7
"2008/2009",France Ligue 1,AJ Auxerre,55,16,7,15,35,35,0,38,8
"2008/2009",France Ligue 1,OGC Nice,50,13,11,14,40,41,-1,38,9
"2008/2009",France Ligue 1,FC Lorient,45,10,15,13,47,47,0,38,10
"2008/2009",France Ligue 1,AS Monaco,45,11,12,15,41,45,-4,38,11
"2008/2009",France Ligue 1,Valenciennes FC,44,10,14,14,35,42,-7,38,12
"2008/2009",France Ligue 1,Grenoble Foot 38,44,10,14,14,24,37,-13,38,13
"2008/2009",France Ligue 1,FC Sochaux-Montbéliard,42,10,12,16,40,48,-8,38,14
"2008/2009",France Ligue 1,AS Nancy-Lorraine,42,10,12,16,38,47,-9,38,15
"2008/2009",France Ligue 1,Le Mans FC,40,10,10,18,43,54,-11,38,16
"2008/2009",France Ligue 1,AS Saint-Étienne,40,11,7,20,40,56,-16,38,17
"2008/2009",France Ligue 1,SM Caen,37,8,13,17,42,49,-7,38,18
"2008/2009",France Ligue 1,FC Nantes,37,9,10,19,33,54,-21,38,19
"2008/2009",France Ligue 1,Le Havre AC,26,7,5,26,30,67,-37,38,20
"2008/2009",Germany 1. Bundesliga,VfL Wolfsburg,69,21,6,7,80,41,39,34,1
"2008/2009",Germany 1. Bundesliga,FC Bayern Munich,67,20,7,7,71,42,29,34,2
"2008/2009",Germany 1. Bundesliga,VfB Stuttgart,64,19,7,8,63,43,20,34,3
"2008/2009",Germany 1. Bundesliga,Hertha BSC Berlin,63,19,6,9,48,41,7,34,4
"2008/2009",Germany 1. Bundesliga,Hamburger SV,61,19,4,11,49,47,2,34,5
"2008/2009",Germany 1. Bundesliga,Borussia Dortmund,59,15,14,5,60,37,23,34,6
"2008/2009",Germany 1. Bundesliga,TSG 1899 Hoffenheim,55,15,10,9,63,49,14,34,7
"2008/2009",Germany 1. Bundesliga,FC Schalke 04,50,14,8,12,47,35,12,34,8
"2008/2009",Germany 1. Bundesliga,Bayer 04 Leverkusen,49,14,7,13,59,46,13,34,9
"2008/2009",Germany 1. Bundesliga,SV Werder Bremen,45,12,9,13,64,50,14,34,10
"2008/2009",Germany 1. Bundesliga,Hannover 96,40,10,10,14,49,69,-20,34,11
"2008/2009",Germany 1. Bundesliga,"1. FC Köln",39,11,6,17,35,50,-15,34,12
"2008/2009",Germany 1. Bundesliga,Eintracht Frankfurt,33,8,9,17,39,60,-21,34,13
"2008/2009",Germany 1. Bundesliga,VfL Bochum,32,7,11,16,39,55,-16,34,14
"2008/2009",Germany 1. Bundesliga,Borussia Mönchengladbach,31,8,7,19,39,62,-23,34,15
"2008/2009",Germany 1. Bundesliga,FC Energie Cottbus,30,8,6,20,30,57,-27,34,16
"2008/2009",Germany 1. Bundesliga,Karlsruher SC,29,8,5,21,30,54,-24,34,17
"2008/2009",Germany 1. Bundesliga,DSC Arminia Bielefeld,28,4,16,14,29,56,-27,34,18
"2008/2009",Italy Serie A,Inter,84,25,9,4,70,32,38,38,1
"2008/2009",Italy Serie A,Milan,74,22,8,8,70,35,35,38,2
