"season","league","team","points","prev_season_points","points_change"
"2010/2011",Germany 1. Bundesliga,"1. FC Kaiserslautern",46,,
"2011/2012",Germany 1. Bundesliga,"1. FC Kaiserslautern",23,46,-23
"2008/2009",Germany 1. Bundesliga,"1. FC Köln",39,,
"2009/2010",Germany 1. Bundesliga,"1. FC Köln",38,39,-1
"2010/2011",Germany 1. Bundesliga,"1. FC Köln",44,38,6
"2011/2012",Germany 1. Bundesliga,"1. FC Köln",30,44,-14
"2014/2015",Germany 1. Bundesliga,"1. FC Köln",40,30,10
"2015/2016",Germany 1. Bundesliga,"1. FC Köln",43,40,3
"2009/2010",Germany 1. Bundesliga,"1. FC Nürnberg",31,,
"2010/2011",Germany 1. Bundesliga,"1. FC Nürnberg",47,31,16
"2011/2012",Germany 1. Bundesliga,"1. FC Nürnberg",42,47,-5
"2012/2013",Germany 1. Bundesliga,"1. FC Nürnberg",44,42,2
"2013/2014",Germany 1. Bundesliga,"1. FC Nürnberg",26,44,-18
"2009/2010",Germany 1. Bundesliga,"1. FSV Mainz 05",47,,
"2010/2011",Germany 1. Bundesliga,"1. FSV Mainz 05",58,47,11
"2011/2012",Germany 1. Bundesliga,"1. FSV Mainz 05",39,58,-19
"2012/2013",Germany 1. Bundesliga,"1. FSV Mainz 05",42,39,3
"2013/2014",Germany 1. Bundesliga,"1. FSV Mainz 05",53,42,11
"2014/2015",Germany 1. Bundesliga,"1. FSV Mainz 05",40,53,-13
"2015/2016",Germany 1. Bundesliga,"1. FSV Mainz 05",50,40,10
"2011/2012",France Ligue 1,AC Ajaccio,41,,
"2012/2013",France Ligue 1,AC Ajaccio,42,41,1
"2013/2014",France Ligue 1,AC Ajaccio,23,42,-19
"2010/2011",France Ligue 1,AC Arles-Avignon,20,,
"2008/2009",Switzerland Super League,AC Bellinzona,43,,
"2009/2010",Switzerland Super League,AC Bellinzona,25,43,-18
"2010/2011",Switzerland Super League,AC Bellinzona,32,25,7
"2008/2009",Netherlands Eredivisie,ADO Den Haag,32,,
"2009/2010",Netherlands Eredivisie,ADO Den Haag,30,32,-2
"2010/2011",Netherlands Eredivisie,ADO Den Haag,54,30,24
"2011/2012",Netherlands Eredivisie,ADO Den Haag,32,54,-22
"2012/2013",Netherlands Eredivisie,ADO Den Haag,40,32,8
"2013/2014",Netherlands Eredivisie,ADO Den Haag,43,40,3
"2014/2015",Netherlands Eredivisie,ADO Den Haag,37,43,-6
"2015/2016",Netherlands Eredivisie,ADO Den Haag,43,37,6
"2008/2009",France Ligue 1,AJ Auxerre,55,,
"2009/2010",France Ligue 1,AJ Auxerre,71,55,16
"2010/2011",France Ligue 1,AJ Auxerre,49,71,-22
"2011/2012",France Ligue 1,AJ Auxerre,34,49,-15
"2008/2009",France Ligue 1,AS Monaco,45,,
"2009/2010",France Ligue 1,AS Monaco,55,45,10
"2010/2011",France Ligue 1,AS Monaco,44,55,-11
"2013/2014",France Ligue 1,AS Monaco,80,44,36
"2014/2015",France Ligue 1,AS Monaco,71,80,-9
"2015/2016",France Ligue 1,AS Monaco,65,71,-6
"2008/2009",France Ligue 1,AS Nancy-Lorraine,42,,
"2009/2010",France Ligue 1,AS Nancy-Lorraine,48,42,6
"2010/2011",France Ligue 1,AS Nancy-Lorraine,48,48,0
"2011/2012",France Ligue 1,AS Nancy-Lorraine,45,48,-3
"2012/2013",France Ligue 1,AS Nancy-Lorraine,38,45,-7
"2008/2009",France Ligue 1,AS Saint-Étienne,40,,
"2009/2010",France Ligue 1,AS Saint-Étienne,40,40,0
"2010/2011",France Ligue 1,AS Saint-Étienne,49,40,9
"2011/2012",France Ligue 1,AS Saint-Étienne,57,49,8
"2012/2013",France Ligue 1,AS Saint-Étienne,63,57,6
